CTLabel,BoroCode,BoroName,CT2010,BoroCT2010,CDEligibil,NTACode,NTAName,PUMA,Shape_Leng,Shape_Area,fullCT,vouchers2012,vouchers2013,vouchers2014,vouchers2015
773,4,Queens,077300,4077300,I,QN60,Kew Gardens,4111,9404.11356,3038717.82755,36081077300,8,7,7,7
134,4,Queens,013400,4013400,I,QN60,Kew Gardens,4111,6554.17816,2055343.91873,36081013400,63,60,56,52
243,4,Queens,024300,4024300,E,QN50,Elmhurst-Maspeth,4109,12868.638867,5962308.02013,36081024300,3,2,3,3
515,4,Queens,051500,4051500,I,QN30,Maspeth,4110,7997.248564,2419820.73247,36081051500,2,2,1,1
141,4,Queens,014100,4014100,E,QN70,Astoria,4101,6503.492042,1841355.32014,36081014100,4,3,3,3
711,4,Queens,071100,4071100,I,QN17,Forest Hills,4108,12845.629515,3951124.59091,36081071100,10,8,11,10
713.05,4,Queens,071305,4071305,I,QN17,Forest Hills,4108,5274.454586,1418825.2503,36081071305,20,19,19,19
381,4,Queens,038100,4038100,E,QN26,North Corona,4102,7022.643624,3062918.88918,36081038100,46,58,64,60
383.02,4,Queens,038302,4038302,I,QN99,park-cemetery-etc-Queens,4107,62369.85347,54759310.8272,36081038302,-1,-1,1,
178,4,Queens,017800,4017800,E,QN55,South Ozone Park,4113,7512.829622,2054270.57785,36081017800,14,7,8,7
840,4,Queens,084000,4084000,I,QN55,South Ozone Park,4113,11400.172893,6120458.09407,36081084000,32,31,30,27
610.02,3,Brooklyn,061002,3061002,I,BK19,Brighton Beach,4018,7328.467105,2430047.0161,36047061002,34,34,35,30
610.04,3,Brooklyn,061004,3061004,E,BK19,Brighton Beach,4018,7049.285842,2384068.51078,36047061004,80,76,71,90
608,3,Brooklyn,060800,3060800,I,BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,4016,17845.848682,4308322.45652,36047060800,121,126,125,80
610.03,3,Brooklyn,061003,3061003,E,BK19,Brighton Beach,4018,4774.85363,902889.545413,36047061003,35,30,28,27
380,2,Bronx,038000,2038000,E,BX44,Williamsbridge-Olinville,3702,6160.394062,2346732.12825,36005038000,152,209,214,233
129,1,Manhattan,012900,1012900,I,MN15,Clinton,3807,17375.765848,4355081.72078,36061012900,7,13,22,27
135,1,Manhattan,013500,1013500,E,MN15,Clinton,3807,15450.203689,4513475.19096,36061013500,284,273,251,238
292,3,Brooklyn,029200,3029200,E,BK27,Bath Beach,4017,7237.068654,2183295.69165,36047029200,54,51,50,55
294,3,Brooklyn,029400,3029400,E,BK28,Bensonhurst West,4017,6711.719278,2039332.5261,36047029400,13,11,9,12
20.02,5,Staten Island,002002,5002002,I,SI14,Grasmere-Arrochar-Ft. Wadsworth,3902,12594.126586,8502250.92477,36085002002,4,3,4,4
50,5,Staten Island,005000,5005000,I,SI14,Grasmere-Arrochar-Ft. Wadsworth,3902,14219.364242,9160666.67416,36085005000,14,11,10,11
273.02,5,Staten Island,027302,5027302,I,SI05,New Springville-Bloomfield-Travis,3902,15346.949501,11009861.8366,36085027302,7,6,6,5
279,5,Staten Island,027900,5027900,I,SI24,Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill,3902,36232.862183,58358659.4677,36085027900,1,1,1,1
208.01,5,Staten Island,020801,5020801,I,SI32,Rossville-Woodrow,3901,20655.429894,28012610.9801,36085020801,1,2,2,2
208.03,5,Staten Island,020803,5020803,I,SI32,Rossville-Woodrow,3901,19426.726936,22622289.5983,36085020803,13,15,12,12
449,3,Brooklyn,044900,3044900,E,BK90,East Williamsburg,4001,33882.361413,22969641.7544,36047044900,16,18,20,20
589,3,Brooklyn,058900,3058900,I,BK76,Greenpoint,4001,12130.360272,4574107.52878,36047058900,-1,-1,,
581,4,Queens,058100,4058100,I,QN20,Ridgewood,4110,5661.304829,1549682.73906,36081058100,7,6,6,5
577,4,Queens,057700,4057700,E,QN19,Glendale,4110,6441.767122,2030058.44917,36081057700,21,17,16,16
