CTLabel,BoroCode,BoroName,CT2000,BoroCT2000,CDEligibil,NTACode,NTANAme,PUMA,Shape_Leng,Shape_Area,fullCT,vouchers2000,vouchers2004,vouchers2005,vouchers2006,vouchers2007,vouchers2008,vouchers2009,vouchers2010,vouchers2011
986,3,Brooklyn,098600,3098600,I,BK50,Canarsie,4009,5278.877348,1677791.56868,36047098600,8,16,16,18,18,21,21,19,19
988,3,Brooklyn,098800,3098800,E,BK50,Canarsie,4009,5359.321708,1743253.06665,36047098800,23,16,24,25,17,22,21,22,16
990,3,Brooklyn,099000,3099000,E,BK50,Canarsie,4009,5378.754287,1762100.4386,36047099000,3,6,9,9,10,10,11,8,8
992,3,Brooklyn,099200,3099200,I,BK50,Canarsie,4009,5262.824764,1448961.09228,36047099200,4,6,7,8,9,8,10,9,9
994,3,Brooklyn,099400,3099400,I,BK50,Canarsie,4009,5763.484839,1872516.95323,36047099400,6,10,9,10,10,12,10,12,14
996,3,Brooklyn,099600,3099600,I,BK50,Canarsie,4009,5666.142181,2041897.25334,36047099600,7,12,11,11,14,19,23,20,17
1004,3,Brooklyn,100400,3100400,I,BK50,Canarsie,4009,4996.868502,1421504.22383,36047100400,8,10,13,12,8,14,15,16,15
1006,3,Brooklyn,100600,3100600,I,BK50,Canarsie,4009,5220.149556,1637143.98308,36047100600,14,16,14,11,17,24,24,23,23
1008,3,Brooklyn,100800,3100800,I,BK50,Canarsie,4009,5432.52851,1602833.14215,36047100800,10,5,7,11,10,12,16,11,14
1010,3,Brooklyn,101000,3101000,E,BK50,Canarsie,4009,5605.215261,1844400.67516,36047101000,5,12,13,15,15,16,19,21,21
1012,3,Brooklyn,101200,3101200,I,BK50,Canarsie,4009,5338.621008,1730638.6151,36047101200,7,12,8,11,11,14,15,13,16
1014,3,Brooklyn,101400,3101400,I,BK50,Canarsie,4009,5259.876712,1668038.27864,36047101400,2,2,3,3,5,7,7,7,5
1016,3,Brooklyn,101600,3101600,I,BK50,Canarsie,4009,4674.608234,1210060.35651,36047101600,0,0,2,2,2,1,-1,1,2
1018,3,Brooklyn,101800,3101800,I,BK50,Canarsie,4009,14375.579081,2623263.22238,36047101800,9,5,6,6,5,5,3,-1,1
1020,3,Brooklyn,102000,3102000,I,BK50,Canarsie,4009,5294.223461,1690994.9636,36047102000,9,5,6,6,6,5,8,7,10
1024,3,Brooklyn,102400,3102400,I,BK50,Canarsie,4009,5452.825038,1540219.4388,36047102400,11,14,10,14,13,15,21,11,17
1026,3,Brooklyn,102600,3102600,I,BK50,Canarsie,4009,5343.140556,1462012.32447,36047102600,11,17,10,7,5,6,12,13,15
44.01,4,Queens,004401,4004401,E,QN56,Ozone Park,4113,7561.022147,2776680.4685,36081004401,34,30,31,36,44,45,49,48,48
50,4,Queens,005000,4005000,E,QN56,Ozone Park,4113,5313.895625,1693882.57015,36081005000,2,1,1,1,1,1,1,-1,-1
51,4,Queens,005100,4005100,E,QN68,Queensbridge-Ravenswood-Long Island City,4101,5387.367313,1476104.63664,36081005100,1,2,2,2,2,3,2,2,2
52,4,Queens,005200,4005200,E,QN53,Woodhaven,4111,5322.702406,1405673.86422,36081005200,20,29,25,27,29,34,42,37,36
73,4,Queens,007300,4007300,I,QN71,Old Astoria,4101,4972.888062,1523722.8473,36081007300,4,4,3,3,2,2,3,3,3
136,4,Queens,013600,4013600,I,QN60,Kew Gardens,4111,5973.832765,1632351.22655,36081013600,3,1,0,1,2,2,5,5,5
140,4,Queens,014000,4014000,E,QN60,Kew Gardens,4111,7164.940063,2387119.42,36081014000,12,12,9,10,9,10,11,11,11
143,4,Queens,014300,4014300,E,QN70,Astoria,4101,5416.759099,1469451.94102,36081014300,5,2,3,4,4,4,4,2,2
145,4,Queens,014500,4014500,I,QN70,Astoria,4101,4713.297136,1374739.99786,36081014500,1,0,0,1,1,1,1,-1,-1
147,4,Queens,014700,4014700,I,QN70,Astoria,4101,6043.088483,1592386.50057,36081014700,2,2,2,2,2,2,2,2,2
149,4,Queens,014900,4014900,E,QN70,Astoria,4101,4285.463597,1147477.90442,36081014900,1,1,1,1,0,0,2,2,1
153,4,Queens,015300,4015300,E,QN70,Astoria,4101,4615.607896,1309390.55757,36081015300,1,1,1,1,1,1,1,1,1
154,4,Queens,015400,4015400,E,QN54,Richmond Hill,4111,7745.387403,1617854.396,36081015400,8,7,6,4,4,6,8,6,5
156,4,Queens,015600,4015600,E,QN54,Richmond Hill,4111,7347.451949,2253099.63122,36081015600,11,9,4,6,5,11,17,14,11
161,4,Queens,016100,4016100,E,QN70,Astoria,4101,4435.713486,1152166.62206,36081016100,0,0,0,0,0,0,-1,-1,-1
164,4,Queens,016400,4016400,I,QN55,South Ozone Park,4113,6846.239496,2129308.69535,36081016400,12,10,10,5,6,6,12,12,12
166,4,Queens,016600,4016600,E,QN55,South Ozone Park,4113,9392.753172,2185345.29801,36081016600,11,17,18,16,18,15,19,16,14
168,4,Queens,016800,4016800,E,QN55,South Ozone Park,4113,7492.315159,2276026.97494,36081016800,7,8,7,9,10,12,13,9,8
170,4,Queens,017000,4017000,I,QN55,South Ozone Park,4113,9386.534748,2710229.89439,36081017000,11,7,6,4,4,6,9,13,12
172,4,Queens,017200,4017200,E,QN55,South Ozone Park,4113,7191.60721,1984689.79024,36081017200,4,4,6,5,7,4,5,2,1
174,4,Queens,017400,4017400,I,QN55,South Ozone Park,4113,10521.057471,2605098.93816,36081017400,6,4,3,4,10,9,10,7,5
176,4,Queens,017600,4017600,E,QN55,South Ozone Park,4113,7191.215267,1983387.7288,36081017600,15,15,12,12,14,15,15,12,11
180,4,Queens,018000,4018000,I,QN55,South Ozone Park,4113,6166.373082,1725265.35867,36081018000,9,7,8,6,6,7,13,11,6
185,4,Queens,018500,4018500,E,QN31,Hunters Point-Sunnyside-West Maspeth,4109,5838.994417,2119459.10989,36081018500,9,3,2,2,3,1,4,5,7
188,4,Queens,018800,4018800,I,QN76,Baisley Park,4112,6595.835549,1779743.52065,36081018800,9,5,4,4,7,10,7,8,14
190,4,Queens,019000,4019000,E,QN76,Baisley Park,4112,6323.597201,2026398.68211,36081019000,12,12,10,8,9,14,11,8,7
191,4,Queens,019100,4019100,I,QN31,Hunters Point-Sunnyside-West Maspeth,4109,8467.47267,4111608.17318,36081019100,0,0,0,0,0,0,-1,-1,-1
192,4,Queens,019200,4019200,I,QN76,Baisley Park,4112,7690.494632,2023983.65647,36081019200,3,9,9,10,10,12,14,10,9
194.01,4,Queens,019401,4019401,I,QN01,South Jamaica,4112,5154.228431,1229810.85747,36081019401,5,3,0,0,1,2,3,4,4
204,4,Queens,020400,4020400,E,QN61,Jamaica,4112,6732.219956,2170700.82979,36081020400,16,23,18,18,16,20,21,22,23
206,4,Queens,020600,4020600,E,QN61,Jamaica,4112,5762.248074,1484371.14301,36081020600,8,2,7,7,7,12,14,13,11
230,4,Queens,023000,4023000,I,QN35,Briarwood-Jamaica Hills,4106,6035.910709,1782960.00319,36081023000,0,2,2,2,2,0,1,1,1
232,4,Queens,023200,4023200,E,QN35,Briarwood-Jamaica Hills,4106,8955.450004,3557225.33786,36081023200,15,11,10,12,13,12,13,13,14
