tract,year,nycha,hud,totPopulation,totPopUnder5,totPerPopUnder5,totWhite,totPerWhite,totBlack,totPerBlack,totAsian,totPerAsian,totHispanic,totPerHispanic,totHouseholds,totFamilies,totPoverty,totPerPoverty,totFamiliesPoverty,totPerFamiliesPoverty,totYiddish,totPerYiddish,totNotWhite,totPerNotWhite,totBlackHispanic,totPopOver5,totPerBlackHispanic,sec8Households,sec8Population,sec8PerHHNotWhite,sec8PerHHBlack,sec8PerHHAsian,sec8PerHHHispanic,sec8PerHHWhite,sec8PerPop,sec8PerHH,sec8PerVouchers,boro,neighborhood
36005008300,2000,N,N,6204,601.7879999999999,0.09699999999999999,1400,0.226,1416,0.228,49,0.008,5019,0.809,1999,1496,1789,0.289,407,0.268,0,0,4804,0.774,6435,5602.212,1.0372340425531914,178,500,0.99,0.3,0,0.69,0.010000000000000009,0.08059316569954868,0.08904452226113056,0.002291747135316081,Bronx,Longwood
36005008400,2000,N,N,2079,139.293,0.067,443,0.213,871,0.419,23,0.011000000000000001,1251,0.602,616,510,398,0.185,89,0.174,0,0,1636,0.787,2122,1939.7069999999999,1.0206830206830206,18,100,1,0.22,0,0.78,0,0.0481000481000481,0.02922077922077922,0.0002317497103128621,Bronx,Soundview-Castle Hill-Clason Point-Harding Park
36005008500,2000,N,N,5428,537.3720000000001,0.099,1168,0.215,1516,0.27899999999999997,31,0.006,3991,0.735,1473,1087,2552,0.509,529,0.478,0,0,4260,0.785,5507,4890.628,1.0145541635961681,70,200,0.97,0.31,0,0.66,0.030000000000000027,0.036845983787767135,0.04752206381534284,0.0009012488734389082,Bronx,Longwood
36005008600,2000,N,N,4381,381.147,0.087,1067,0.244,1900,0.434,7,0.002,2649,0.605,1440,1044,1984,0.456,454,0.43700000000000006,0,0,3314,0.756,4549,3999.853,1.0383474092672906,7,1,0.01,0.01,0.01,0.01,0.99,0.00022825838849577722,0.004861111111111111,0.00009012488734389082,Bronx,Soundview-Castle Hill-Clason Point-Harding Park
36005008700,2000,N,N,5203,457.86400000000003,0.08800000000000001,1236,0.23800000000000002,1205,0.23199999999999998,26,0.005,4213,0.81,1448,1158,2144,0.431,454,0.387,0,0,3967,0.762,5418,4745.136,1.0413223140495869,154,500,0.98,0.35,0,0.62,0.020000000000000018,0.09609840476648088,0.106353591160221,0.001982747521565598,Bronx,Longwood
36005008800,2000,N,N,3523,274.794,0.078,882,0.25,1425,0.40399999999999997,41,0.012,2119,0.601,1080,831,1365,0.405,333,0.38799999999999996,0,0,2641,0.75,3544,3248.206,1.0059608288390576,3,1,0.01,0.01,0.01,0.01,0.99,0.0002838489923360772,0.002777777777777778,0.00003862495171881035,Bronx,Soundview-Castle Hill-Clason Point-Harding Park
36005008900,2000,N,N,2886,239.538,0.083,1054,0.365,484,0.168,8,0.003,2478,0.8590000000000001,1027,642,1326,0.441,225,0.34700000000000003,0,0,1832,0.635,2962,2646.462,1.0263340263340264,57,200,0.98,0.23,0,0.75,0.020000000000000018,0.0693000693000693,0.055501460564751706,0.0007338740826573967,Bronx,Hunts Point
36005009100,2000,N,N,81,11.016,0.136,48,0.593,3,0.037000000000000005,0,0,75,0.9259999999999999,31,17,53,0.914,11,1,0,0,33,0.40700000000000003,78,69.984,0.9629629629629629,2,1,0.01,0.01,0.01,0.01,0.99,0.012345679012345678,0.06451612903225806,0.000025749967812540233,Bronx,Hunts Point
36005009200,2000,N,N,4877,380.406,0.078,1469,0.301,754,0.155,518,0.106,2926,0.6,1778,1207,951,0.19399999999999998,225,0.183,0,0,3408,0.6990000000000001,3680,4496.594,0.7545622308796391,93,300,0.91,0.1,0,0.81,0.08999999999999997,0.061513225343448844,0.05230596175478065,0.001197373503283121,Bronx,Westchester-Unionport
36005009400,2000,N,N,1600,123.2,0.077,474,0.29600000000000004,329,0.20600000000000002,110,0.069,833,0.521,463,358,116,0.08800000000000001,25,0.076,0,0,1126,0.704,1162,1476.8,0.72625,34,100,0.94,0.26,0,0.68,0.06000000000000005,0.0625,0.0734341252699784,0.000437749452813184,Bronx,Westchester-Unionport
36005009700,2000,N,N,133,17.024,0.128,37,0.278,46,0.34600000000000003,6,0.045,79,0.594,40,28,32,0.348,0,0,0,0,96,0.722,125,115.976,0.9398496240601504,1,1,0.01,0.01,0.01,0.01,0.99,0.007518796992481203,0.025,0.000012874983906270117,Bronx,Hunts Point
36005009800,2000,N,N,5538,376.584,0.068,1574,0.284,1803,0.326,205,0.037000000000000005,3329,0.601,1906,1458,905,0.165,213,0.14300000000000002,0,0,3964,0.716,5132,5161.416,0.9266883351390394,62,200,0.98,0.18,0,0.81,0.020000000000000018,0.03611412062116288,0.03252885624344176,0.0007982490021887472,Bronx,Westchester-Unionport
36005009900,2000,N,N,5317,547.6510000000001,0.10300000000000001,1465,0.276,1718,0.32299999999999995,18,0.003,3871,0.728,1581,1205,2330,0.446,523,0.43,0,0,3852,0.724,5589,4769.349,1.0511566672935866,124,400,0.98,0.33,0,0.64,0.020000000000000018,0.07523039307880383,0.0784313725490196,0.0015964980043774945,Bronx,Hunts Point
