tract,year,nycha,hud,totPopulation,totPerPopUnder5,totPopPoverty,totPerPoverty,totHouseholds,totFamilies,totWhite,totBlack,totAsian,totHispanic,totYiddish,totNotWhite,totPerNotWhite,totBlackHispanic,totPopUnder5,totPopOver5,totPoverty,totPerHispanic,totPerWhite,totPerAsian,totPerBlack,totPerYiddish,totPerBlackHispanic,boro,neighborhood,sec8HouseholdsNYCHA,sec8PopulationNYCHA,sec8AvgIncomeNYCHA,hhNYCHA,sec8Households,popNYCHA,sec8Population,sec8PerHHWhite,sec8PerHHNotWhite,sec8PerHHBlack,sec8PerHHAsian,sec8PerHHHispanic,sec8TotHHWhite,sec8TotHHNotWhite,sec8TotHHBlack,sec8TotHHAsian,sec8TotHHHispanic,sec8PerPop,sec8PerHH,sec8PerVouchers
36005004300,2014,Y,Y,5841,0.11800000000000001,5831,0.444,1923,1326,26,1208,0,4484,0,5815,0.9955487074131142,5692,689.238,5151.762,2588.964,0.7676767676767676,0.004451292586885807,0,0.20681390172915598,0,0.9744906694059237,Bronx,Mott Haven-Port Morris,80,253,,N,327,N,834,0.09,0.91,0.16,0.01,0.74,29.43,297.57,52.32,3.27,241.98,0.14278376990241398,0.17004680187207488,0.0026382244023655274
36005004400,2014,Y,Y,4830,0.068,4607,0.371,1670,1110,32,1669,242,2881,0,4798,0.9933747412008281,4550,328.44,4501.56,1709.197,0.59648033126294,0.006625258799171843,0.05010351966873706,0.3455486542443064,0,0.9420289855072463,Bronx,Soundview-Bruckner,19,52,,N,18,N,52,0.44,0.56,0.39,0,0.17,7.92,10.080000000000002,7.0200000000000005,0,3.06,0.010766045548654244,0.010778443113772455,0.00014522336159810241
36005004600,2014,Y,Y,1659,0.069,1659,0.228,686,359,27,589,0,1019,0,1632,0.9837251356238698,1608,114.471,1544.529,378.252,0.6142254370102471,0.0162748643761302,0,0.3550331525015069,0,0.969258589511754,Bronx,Soundview-Castle Hill-Clason Point-Harding Park,56,181,,N,70,N,219,0.41,0.59,0.36,0,0.23,28.7,41.3,25.2,0,16.1,0.13200723327305605,0.10204081632653061,0.0005647575173259538
36005004800,2014,Y,Y,4024,0.1,4024,0.405,1234,920,62,734,162,3022,0,3962,0.9845924453280318,3756,402.40000000000003,3621.6,1629.72,0.7509940357852882,0.015407554671968192,0.04025844930417495,0.1824055666003976,0,0.9333996023856859,Bronx,Soundview-Bruckner,130,242,,N,152,N,286,0.26,0.74,0.45,0,0.26,39.52,112.48,68.4,0,39.52,0.07107355864811134,0.12317666126418152,0.0012263306090506427
36005005001,2014,Y,Y,5040,0.073,4995,0.36200000000000004,1456,1123,0,1887,0,2945,0,0,0,4832,367.91999999999996,4672.08,1808.1900000000003,0.5843253968253969,0,0,0.3744047619047619,0,0.9587301587301588,Bronx,Soundview-Bruckner,221,563,,N,273,N,681,0.32,0.68,0.38,0,0.3,87.36,185.64000000000001,103.74,0,81.89999999999999,0.1351190476190476,0.1875,0.00220255431757122
36005005002,2014,Y,Y,5791,0.08199999999999999,5753,0.423,1752,1253,20,846,151,4321,0,5771,0.9965463650492143,5167,474.86199999999997,5316.138,2433.519,0.7461578311172509,0.003453634950785702,0.02607494387843205,0.14608875841823518,0,0.8922465895354861,Bronx,Soundview-Bruckner,202,395,,N,234,N,447,0.3,0.7,0.47,0.01,0.22,70.2,163.79999999999998,109.97999999999999,2.34,51.48,0.07718874115006044,0.13356164383561644,0.0018879037007753314
36005005100,2014,Y,Y,5814,0.08900000000000001,5809,0.426,1957,1412,19,1762,9,3961,0,5795,0.9967320261437909,5723,517.446,5296.554,2474.634,0.6812865497076024,0.0032679738562091504,0.0015479876160990713,0.30306157550739593,0,0.9843481252149983,Bronx,Mott Haven-Port Morris,10,22,,N,14,N,29,0.43,0.57,0,0,0.57,6.02,7.9799999999999995,0,0,7.9799999999999995,0.004987960096319229,0.007153806847215125,0.00011295150346519077
36005005200,2014,Y,Y,2128,0.057999999999999996,2128,0.47100000000000003,766,576,9,537,53,1524,0,2119,0.9957706766917294,2061,123.42399999999999,2004.576,1002.288,0.7161654135338346,0.0042293233082706765,0.024906015037593984,0.2523496240601504,0,0.9685150375939849,Bronx,Soundview-Bruckner,36,77,,N,47,N,100,0.4,0.6,0.34,0,0.23,18.8,28.2,15.98,0,10.81,0.046992481203007516,0.06135770234986945,0.00037919433306171185
36005005300,2014,Y,Y,3305,0.11900000000000001,3279,0.56,1302,798,50,1738,0,1421,0,3255,0.9848714069591528,3159,393.295,2911.705,1836.2400000000002,0.42995461422087744,0.015128593040847202,0,0.5258698940998487,0,0.9558245083207262,Bronx,University Heights-Morris Heights,231,521,,N,1018,N,2501,0.05,0.95,0.57,0,0.38,50.900000000000006,967.0999999999999,580.26,0,386.84000000000003,0.756732223903177,0.7818740399385561,0.008213187894826014
36005005400,2014,Y,Y,6334,0.076,6259,0.349,1729,1249,4,1418,103,4551,0,6330,0.9993684875276286,5969,481.384,5852.616,2184.391,0.71850331544048,0.0006315124723713293,0.01626144616356173,0.22387117145563626,0,0.9423744868961162,Bronx,West Farms-Bronx River,151,433,,N,193,N,551,0.33,0.67,0.46,0.01,0.2,63.690000000000005,129.31,88.78,1.93,38.6,0.08699084306915061,0.11162521688837479,0.001557117154912987
36005005600,2014,Y,Y,2391,0.11199999999999999,2391,0.396,884,452,20,534,45,1660,0,2371,0.9916352990380594,2194,267.792,2123.208,946.836,0.6942701798410706,0.008364700961940611,0.018820577164366373,0.2233375156838143,0,0.917607695524885,Bronx,West Farms-Bronx River,63,153,,N,78,N,184,0.28,0.72,0.41,0.01,0.29,21.840000000000003,56.16,31.979999999999997,0.78,22.619999999999997,0.07695524884985362,0.08823529411764706,0.0006293012335917771
36005005902,2014,Y,Y,2856,0.076,2823,0.28,1077,595,83,662,0,2033,0,2773,0.97093837535014,2695,217.05599999999998,2638.944,790.44,0.7118347338935574,0.029061624649859945,0,0.23179271708683474,0,0.9436274509803921,Bronx,East Concourse-Concourse Village,74,118,,N,80,N,130,0.4,0.6,0.28,0,0.33,32,48,22.400000000000002,0,26.400000000000002,0.04551820728291316,0.07428040854224698,0.0006454371626582329
36005006000,2014,Y,Y,1192,0.075,1190,0.272,314,241,57,142,7,986,0,1135,0.9521812080536913,1128,89.39999999999999,1102.6,323.68,0.8271812080536913,0.047818791946308725,0.00587248322147651,0.11912751677852348,0,0.9463087248322147,Bronx,Crotona Park East,31,69,,N,42,N,89,0.33,0.67,0.4,0,0.26,13.860000000000001,28.14,16.8,0,10.92,0.07466442953020135,0.1337579617834395,0.0003388545103955723
36005006100,2014,Y,Y,4007,0.051,3992,0.11,2191,913,75,3285,0,536,0,3932,0.9812827551784378,3821,204.357,3802.643,439.12,0.13376590965809831,0.018717244821562267,0,0.8198153231844273,0,0.9535812328425256,Bronx,East Concourse-Concourse Village,14,16,,N,14,N,16,0.07,0.93,0.79,0,0.14,0.9800000000000001,13.020000000000001,11.06,0,1.9600000000000002,0.00399301222859995,0.006389776357827476,0.00011295150346519077
36005006200,2014,Y,Y,7682,0.077,7681,0.38299999999999995,2388,1736,2,2238,14,5428,0,7680,0.9997396511325176,7666,591.514,7090.486,2941.8229999999994,0.7065868263473054,0.0002603488674824265,0.0018224420723769851,0.2913303827128352,0,0.9979172090601406,Bronx,West Farms-Bronx River,126,281,,N,142,N,315,0.26,0.74,0.48,0,0.25,36.92,105.08,68.16,0,35.5,0.04100494662848217,0.059463986599664995,0.0011456509637183636
36005006300,2014,Y,Y,4480,0.039,4469,0.32,1829,1054,133,1008,387,2893,0,4347,0.9703125,3901,174.72,4305.28,1430.08,0.6457589285714286,0.0296875,0.08638392857142857,0.225,0,0.8707589285714286,Bronx,West Concourse,231,465,,N,297,N,630,0.43,0.57,0.29,0,0.28,127.71,169.29,86.13,0,83.16000000000001,0.140625,0.16238381629305632,0.0023961854663686897
