tract,year,nycha,hud,totPopulation,totPerPopUnder5,totPopPoverty,totPerPoverty,totHouseholds,totFamilies,totWhite,totBlack,totAsian,totHispanic,totYiddish,totNotWhite,totPerNotWhite,totBlackHispanic,totPopUnder5,totPopOver5,totPoverty,totPerHispanic,totPerWhite,totPerAsian,totPerBlack,totPerYiddish,totPerBlackHispanic,hhNYCHA,sec8Households,popNYCHA,sec8Population,sec8PerHHNotWhite,sec8PerHHBlack,sec8PerHHAsian,sec8PerHHHispanic,sec8PerHHWhite,sec8TotHHWhite,sec8TotHHNotWhite,sec8TotHHBlack,sec8TotHHAsian,sec8TotHHHispanic,sec8PerPop,sec8PerHH,sec8PerVouchers,boro,neighborhood,sec8HouseholdsNYCHA,sec8PopulationNYCHA,sec8AvgIncomeNYCHA
36085000600,2009,Y,Y,2397,0.039,2397,0.12300000000000001,1218,2.96,1511,255,146,485,0,886,0.36962870254484775,740,93.483,2303.517,294.831,0.20233625365039634,0.6303712974551523,0.06090947017104714,0.10638297872340426,0,0.3087192323738006,N,26,N,57,0.5,0.31,0,0.27,0.5,13,13,8.06,0,7.0200000000000005,0.023779724655819776,0.021346469622331693,0.00019617903600639846,Staten Island,Stapleton-Rosebank,25,56,
36085000700,2009,Y,Y,4190,0.019,4190,0.34600000000000003,2084,2.77,999,2021,133,895,0,3191,0.7615751789976134,2916,79.61,4110.39,1449.7400000000002,0.21360381861575178,0.23842482100238663,0.03174224343675418,0.48233890214797137,0,0.6959427207637231,N,52,N,96,0.98,0.73,0.02,0.35,0.020000000000000018,1.040000000000001,50.96,37.96,1.04,18.2,0.022911694510739856,0.02495201535508637,0.0003923580720127969,Staten Island,West New Brighton-New Brighton-St. George,45,86,
36085000800,2009,Y,Y,5433,0.051,5433,0.068,1904,3.52,2732,266,855,1580,0,2701,0.4971470642370698,1846,277.08299999999997,5155.917,369.444,0.29081538744708263,0.5028529357629302,0.15737161789066814,0.048960058899318974,0,0.3397754463464016,N,26,N,70,0.81,0.27,0,0.58,0.18999999999999995,4.939999999999999,21.060000000000002,7.0200000000000005,0,15.079999999999998,0.012884226026136572,0.01365546218487395,0.00019617903600639846,Staten Island,Stapleton-Rosebank,22,57,
36085000900,2009,Y,Y,1726,0.07400000000000001,1726,0.27,668,3.15,329,727,286,348,0,1397,0.8093858632676709,1075,127.72400000000002,1598.276,466.02000000000004,0.20162224797219003,0.19061413673232908,0.1657010428736964,0.42120509849362686,0,0.6228273464658169,N,48,N,161,0.94,0.58,0.02,0.42,0.06000000000000005,2.8800000000000026,45.12,27.839999999999996,0.96,20.16,0.093279258400927,0.0718562874251497,0.0003621766818579664,Staten Island,West New Brighton-New Brighton-St. George,49,163,
36085001100,2009,Y,Y,3765,0.10800000000000001,3765,0.265,1280,3.67,983,1075,176,1481,0,2782,0.7389110225763612,2556,406.62000000000006,3358.38,997.725,0.3933598937583001,0.2610889774236388,0.04674634794156707,0.2855245683930943,0,0.6788844621513944,N,105,N,359,0.89,0.68,0,0.23,0.10999999999999999,11.549999999999999,93.45,71.4,0,24.150000000000002,0.09535192563081009,0.08203125,0.0007922614915643015,Staten Island,West New Brighton-New Brighton-St. George,94,316,
36085001500,2009,Y,Y,466,0,466,0.129,341,2.06,332,48,0,64,0,134,0.2875536480686695,112,0,466,60.114000000000004,0.13733905579399142,0.7124463519313304,0,0.10300429184549356,0,0.24034334763948498,N,30,N,37,0.87,0.6,0.03,0.27,0.13,3.9000000000000004,26.1,18,0.8999999999999999,8.100000000000001,0.07939914163090128,0.08797653958944282,0.000226360426161229,Staten Island,Stapleton-Rosebank,5,16,
36085001700,2009,Y,Y,1737,0.091,1737,0.12,569,3.77,510,146,213,712,0,1227,0.7063903281519862,858,158.067,1578.933,208.44,0.409902130109384,0.29360967184801384,0.1226252158894646,0.08405296488198043,0,0.4939550949913644,N,21,N,43,0.71,0.28,0,0.48,0.29000000000000004,6.090000000000001,14.91,5.880000000000001,0,10.08,0.02475532527345999,0.03690685413005272,0.0001584522983128603,Staten Island,Stapleton-Rosebank,18,38,
36085001800,2009,N,Y,893,0.14400000000000002,744,0.11699999999999999,309,3.21,507,238,11,137,0,386,0.4322508398656215,375,128.592,764.408,87.048,0.1534154535274356,0.5677491601343785,0.012318029115341545,0.26651735722284436,0,0.41993281075027994,N,,N,,0,0,0,0,0,0,0,0,0,0,0,0,0,Staten Island,Grasmere-Arrochar-Ft. Wadsworth,,,
36085002001,2009,Y,Y,2604,0.012,2604,0.043,1028,3.18,1874,34,440,256,0,730,0.2803379416282642,290,31.248,2572.752,111.972,0.09831029185867896,0.7196620583717358,0.16897081413210446,0.013056835637480798,0,0.11136712749615975,N,7,N,1,0.29,0.01,0.01,0.01,0.71,4.97,2.03,0.07,0.07,0.07,0.00038402457757296467,0.006809338521400778,0.00005281743277095343,Staten Island,Stapleton-Rosebank,9,14,
36085002002,2009,Y,Y,3342,0.076,3342,0.024,1202,3.26,2552,157,438,129,0,790,0.23638539796529023,286,253.992,3088.008,80.208,0.03859964093357271,0.7636146020347098,0.1310592459605027,0.04697785757031717,0,0.08557749850388989,N,14,N,21,0.29,0.07,0,0.21,0.71,9.94,4.06,0.9800000000000001,0,2.94,0.0062836624775583485,0.011647254575707155,0.00010563486554190686,Staten Island,Grasmere-Arrochar-Ft. Wadsworth,5,6,
